country,gdppercap
"Afghanistan",368.75461
"Albania",6492.872
"Algeria",3690.6279
"American Samoa",15743.311
"Andorra",42137.327
"Angola",1953.5338
"Antigua and Barbuda",15781.396
"Argentina",10636.12
"Armenia",4966.5135
"Aruba",29342.101
"Australia",60443.109
"Austria",53637.706
"Azerbaijan",5387.998
"Bahamas, The",27478.39
"Bahrain",26562.969
"Bangladesh",2457.9249
"Barbados",17225.462
"Belarus",7302.2578
"Belgium",51247.014
"Belize",6228.2673
"Benin",1319.155
"Bermuda",114090.33
"Bhutan",3266.3649
"Bolivia",3345.1966
"Bosnia and Herzegovina",7143.3105
"Botswana",6805.2213
"Brazil",7507.161
"British Virgin Islands",
"Brunei Darussalam",31449.077
"Bulgaria",12221.497
"Burkina Faso",893.07716
"Burundi",221.47768
"Cabo Verde",3293.2331
"Cambodia",1625.235
"Cameroon",1666.9327
"Canada",51987.939
"Cayman Islands",86568.77
"Central African Republic",461.13749
"Chad",685.69028
"Channel Islands",
"Chile",16265.096
"China",12556.333
"Colombia",6104.1367
"Comoros",1577.471
"Democratic Republic of the Congo",577.20922
"Congo, Rep.",2290.3829
"Costa Rica",12472.444
"Ivory Coast",2549.0413
"Croatia",17685.325
"Cuba",
"Curacao",17717.596
"Cyprus",31551.816
"Czech Republic",26821.245
"Denmark",68007.757
"Djibouti",3150.4367
"Dominica",7653.1719
"Dominican Republic",8476.7522
"Ecuador",5965.1329
"Egypt, Arab Rep.",3698.835
"El Salvador",4551.1847
"Equatorial Guinea",7506.6675
"Eritrea",
"Estonia",27943.701
"Eswatini",3978.4035
"Ethiopia",925.07743
"Faroe Islands",69010.31
"Fiji",4646.6127
"Finland",53654.75
"France",43658.979
"French Polynesia",19914.604
"Gabon",8635.3257
"Gambia, The",772.1524
"Georgia",5023.2744
"Germany",51203.554
"Ghana",2363.2993
"Gibraltar",
"Greece",20192.596
"Greenland",
"Grenada",9010.5722
"Guam",35904.864
"Guatemala",5025.5423
"Guinea",1189.176
"Guinea-Bissau",795.11857
"Guyana",9998.5443
"Haiti",1829.593
"Honduras",2771.7175
"Hong Kong SAR, China",49800.542
"Hungary",18728.122
"Iceland",68727.637
"India",2256.5904
"Indonesia",4332.7093
"Iran",4091.2092
"Iraq",4775.3775
"Ireland",100172.08
"Isle of Man",
"Israel",52170.712
"Italy",35657.498
"Jamaica",5183.5813
"Japan",39312.66
"Jordan",4103.259
"Kazakhstan",10373.79
"Kenya",2081.7999
"Kiribati",1606.4625
"North Korea",
"South Korea",34997.782
"Kosovo",5269.7839
"Kuwait",
"Kyrgyzstan",1276.7004
"Lao PDR",2535.6234
"Latvia",21148.163
"Lebanon",4136.1463
"Lesotho",1094.0982
"Liberia",675.66319
"Libya",6357.1956
"Liechtenstein",
"Lithuania",23723.34
"Luxembourg",133590.15
"Macao SAR, China",43873.591
"Madagascar",500.51103
"Malawi",634.83566
"Malaysia",11109.262
"Maldives",10366.293
"Mali",873.79486
"Malta",33486.672
"Marshall Islands",6172.1451
"Mauritania",2166.0468
"Mauritius",9106.2372
"Mexico",10045.681
"Micronesia, Fed. Sts.",3571.3368
"Moldova",5230.6617
"Monaco",234315.46
"Mongolia",4566.1402
"Montenegro",9465.704
"Morocco",3795.3801
"Mozambique",491.83911
"Myanmar",1209.9269
"Namibia",4865.5578
"Nauru",10648.141
"Nepal",1208.2185
"Netherlands",57767.879
"New Caledonia",37159.547
"New Zealand",48781.027
"Nicaragua",2045.5354
"Niger",590.62945
"Nigeria",2065.7491
"North Macedonia",6694.6411
"Northern Mariana Islands",
"Norway",89154.276
"Oman",19509.466
"Pakistan",1505.0102
"Palau",12083.888
"Panama",14617.604
"Papua New Guinea",2672.9458
"Paraguay",5891.5
"Peru",6621.5743
"Philippines",3460.531
"Poland",17999.91
"Portugal",24567.509
"Puerto Rico",32640.71
"Qatar",66838.357
"Romania",14858.229
"Russia",12194.777
"Rwanda",822.34799
"Samoa",3857.3185
"San Marino",
"Sao Tome and Principe",2360.5436
"Saudi Arabia",23185.871
"Senegal",1636.8932
"Serbia",9230.1783
"Seychelles",14653.309
"Sierra Leone",480.03921
"Singapore",72794.003
"Sint Maarten (Dutch part)",
"Slovakia",21391.925
"Slovenia",29291.401
"Solomon Islands",2304.8446
"Somalia",446.98156
"South Africa",7055.0448
"South Sudan",
"Spain",30103.514
"Sri Lanka",4013.6877
"St. Kitts and Nevis",18082.61
"St. Lucia",9414.2262
"St. Martin (French part)",
"St. Vincent and the Grenadines",8666.387
"Sudan",751.82135
"Suriname",4869.1342
"Sweden",61028.738
"Switzerland",91991.6
"Syrian Arab Republic",
"Tajikistan",897.04751
"United Republic of Tanzania",1099.2876
"Thailand",7066.1905
"Timor-Leste",2741.3939
"Togo",973.20613
"Tonga",4426.0006
"Trinidad and Tobago",16032.503
"Tunisia",3807.1391
"Turkey",9661.236
"Turkmenistan",
"Turks and Caicos Islands",20908.583
"Tuvalu",5632.003
"Uganda",883.89203
"Ukraine",4835.5718
"United Arab Emirates",44315.554
"United Kingdom",46510.283
"United States of America",70248.629
"Uruguay",17313.188
"Uzbekistan",1983.0647
"Vanuatu",2996.6211
"Venezuela",
"Vietnam",3756.4891
"Virgin Islands (U.S.)",
"West Bank and Gaza",3663.9691
"Yemen, Rep.",
"Zambia",1137.3436
"Zimbabwe",1773.9204
