CountryName,intuseshare,gdppercap,popshare
"Austria",79.9,50070.4,7.5
"Belgium",84.58,46638.68,7.3
"Bulgaria",59.77,9879.334,2.7
"Croatia",71.39,15331.88,11.6
"Cyprus",79.19,29417.14,4.7
"Czechia",76.1,23664.85,4.4
"Denmark",92.09,59592.98,10
"Estonia",83.2,23424.48,7
"Finland",89.82,48629.86,8.8
"France",77.32,40494.9,7.7
"Germany",85.11,46793.69,11.6
"Greece",64.5,19144.29,3.8
"Hungary",75.21,16782.95,4
"Iceland",96.97,68853.72,15.6
"Ireland",82.51,80927.08,3.9
"Italy",72.79,33673.75,5.3
"Latvia",75.49,17945.22,8.4
"Lithuania",72.6,19595.14,7
"Luxembourg",87.06,112621.8,10
"Malta",82.2,31198.24,3.5
"Netherlands",91.86,52476.27,8.3
"Norway",94.81,75719.75,8.4
"Poland",68.18,15699.91,4.2
"Portugal",65.42,23330.82,12.2
"Romania",56.7,12958.08,1
"Serbia",72.19,7417.204,4.3
"Slovakia",75.76,19383.48,4.3
"Slovenia",74.17,26016.08,7.9
"Spain",77.61,29581.52,5.7
"Sweden",91.42,51939.43,11.7
