CountryName,GDPpercap,lifesat
"Albania",5396.2159,5.1174
"Algeria",4022.1502,4.8871
"Argentina",9963.6725,5.9293
"Armenia",4828.5052,5.2826
"Australia",54941.434,7.1835
"Austria",50070.403,7.2678
"Azerbaijan",4805.7537,5.1708
"Bahrain",25869.113,6.6469
"Bangladesh",2122.0789,5.0246
"Belarus",6837.7178,5.5335
"Belgium",46638.681,6.834
"Benin",1170.9655,5.0452
"Bolivia",3472.3808,5.7159
"Bosnia and Herzegovina",6011.3707,5.8131
"Botswana",6679.1677,3.4665
"Brazil",8845.2591,6.3301
"Bulgaria",9879.3343,5.2655
"Burkina Faso",772.16689,4.8338
"Burundi",216.97297,3.7753
"Cambodia",1671.3854,4.8304
"Cameroon",1538.6879,5.1418
"Canada",46328.672,7.1033
"Chad",701.62122,4.3554
"Chile",14631.947,6.1719
"China",10143.838,5.3391
"Colombia",6438.0602,6.0124
"Comoros",1510.7974,4.2886
"Costa Rica",12669.341,7.0694
"Cote d'Ivoire",2238.811,5.306
"Croatia",15331.883,5.8817
"Cyprus",29417.139,6.2235
"Czechia",23664.848,6.9647
"Denmark",59592.981,7.6195
"Dominican Republic",8173.338,5.5451
"Ecuador",6233.2582,5.764
"El Salvador",4280.2884,6.0605
"Estonia",23424.485,6.1888
"Eswatini",3843.3774,4.3081
"Ethiopia",840.44945,4.2747
"Finland",48629.858,7.8421
"France",40494.898,6.6899
"Gabon",7523.8623,4.8518
"Georgia",4696.1506,4.8914
"Germany",46793.687,7.1545
"Ghana",2167.9116,5.0884
"Greece",19144.284,5.7226
"Guatemala",4647.6933,6.4345
"Guinea",1043.8999,4.9843
"Haiti",1324.844,3.6149
"Honduras",2519.3702,5.9192
"Hungary",16782.952,5.9916
"Iceland",68853.715,7.5539
"India",2047.2327,3.8189
"Indonesia",4151.2275,5.3445
"Iraq",5621.1817,4.8541
"Ireland",80927.075,7.0853
"Israel",44452.233,7.1571
"Italy",33673.751,6.4831
"Jamaica",5626.1712,6.3092
"Japan",40458.002,5.9405
"Jordan",4205.5637,4.3946
"Kazakhstan",9812.5958,6.1518
"Kenya",1970.1051,4.6066
"Kosovo",4416.1084,6.372
"Kuwait",30667.348,6.1061
"Latvia",17945.222,6.032
"Lebanon",8985.5725,4.5838
"Lesotho",1102.5649,3.5118
"Liberia",665.87845,4.6252
"Libya",10542.149,5.4103
"Lithuania",19595.142,6.2554
"Luxembourg",112621.82,7.3244
"Madagascar",512.27966,4.2085
"Malawi",584.36287,3.6
"Malaysia",11132.024,5.3843
"Maldives",11118.557,5.1976
"Mali",840.17576,4.7235
"Malta",31198.241,6.602
"Mauritania",1839.9644,4.2274
"Mauritius",11405.727,6.049
"Mexico",10145.17,6.3168
"Moldova",4493.3703,5.7664
"Mongolia",4394.9471,5.6772
"Montenegro",8909.6533,5.5805
"Morocco",3498.574,4.918
"Mozambique",508.16367,4.7945
"Myanmar",1295.2014,4.4258
"Namibia",5126.1761,4.5741
"Nepal",1185.6827,5.2689
"Netherlands",52476.273,7.464
"New Zealand",42865.234,7.2766
"Nicaragua",1890.2731,5.9721
"Niger",550.96356,5.0741
"Nigeria",2204.1816,4.7593
"North Macedonia",6070.3881,5.1012
"Norway",75719.753,7.3925
"Pakistan",1437.1659,4.934
"Panama",15826.082,6.1796
"Paraguay",5807.8388,5.6526
"Peru",6955.81,5.8396
"Philippines",3413.8479,5.8802
"Poland",15699.911,6.1661
"Portugal",23330.817,5.929
"Romania",12958.076,6.14
"Rwanda",806.87998,3.4147
"Saudi Arabia",22430.238,6.494
"Senegal",1462.3543,5.1318
"Serbia",7417.2036,6.0779
"Sierra Leone",506.60689,3.8494
"Singapore",65831.189,6.3765
"Slovenia",26016.079,6.4607
"South Africa",6688.7873,4.9564
"Spain",29581.519,6.4907
"Sri Lanka",4082.6946,4.325
"Sweden",51939.43,7.3627
"Switzerland",84121.931,7.5715
"Tajikistan",889.02026,5.4662
"Tanzania",1052.0217,3.6232
"Thailand",7630.0396,5.9847
"Togo",875.93266,4.1068
"Tunisia",3477.8838,4.5965
"Turkmenistan",7344.6482,5.0664
"Uganda",823.13895,4.6365
"Ukraine",3661.4563,4.8748
"United Arab Emirates",45376.171,6.5605
"United Kingdom",42747.08,7.0636
"United States",65120.395,6.9515
"Uruguay",17859.931,6.4314
"Uzbekistan",1784.0098,6.1788
"Vietnam",3491.0913,5.4108
"Zambia",1268.1209,4.0734
"Zimbabwe",1421.8686,3.1448
