CountryName,Chrondep,TotalDeaths,Mdeaths,MdeathShare,Psychiatrists
"Austria",7.5,82979,3351,.04038371,20.14
"Belgium",7.3,108793,5819,.0534869,17.06
"Bulgaria",2.7,106625,92,.00086284,10.39
"Croatia",11.6,52477,1361,.02593517,16.79
"Cyprus",4.7,6354,265,.04170601,12.81
"Czechia",4.4,112665,1830,.01624284,15.63
"Denmark",10,53868,3606,.06694141,19.16
"Estonia",7,15234,176,.0115531,19.67
"Finland",8.8,53834,2625,.04876101,25.45
"Greece",3.8,125016,2256,.01804569,26.2
"Hungary",4,129603,4492,.03465969,15.22
"Iceland",15.6,2217,104,.04691024,21.08
"Ireland",3.9,31184,1953,.06262827,19.13
"Italy",5.3,641456,26066,.04063568,17.38
"Latvia",8.4,27536,578,.0209907,15.88
"Lithuania",7,37827,297,.00785153,23.26
"Malta",3.5,3730,234,.06273458,11.31
"Netherlands",8.3,151013,12782,.08464172,24.24
"Norway",8.4,40124,3108,.07745987,25.75
"Portugal",12.2,112334,5676,.05052789,13.58
"Romania",1,257326,347,.00134848,13.06
"Slovenia",7.9,20063,501,.02497134,15.47
"Spain",5.7,418703,22896,.05468315,11.84
"Sweden",11.7,88353,6523,.07382885,22.18
